Code,Description
30001,"Afognak Lake, AK"
30003,"Granite Mountain, AK"
30004,"Lik, AK"
30005,"Little Squaw, AK"
30006,"Kizhuyak, AK"
30007,"Klawock, AK"
30008,"Elizabeth Island, AK"
30009,"Homer, AK"
30010,"Hudson, NY"
30011,"Peach Springs, AZ"
30012,"Blairstown, NJ"
30013,"Crosbyton, TX"
30015,"Deadmans Bay, AK"
30016,"Hallo Bay, AK"
30017,"Red Lake, AK"
30018,"Shell Lake, AK"
30019,"Kougarok, AK"
30020,"Selawik, AK"
30021,"Pillar Bay, AK"
30022,"Johnstone Point, AK"
30023,"Tikchik Lodge, AK"
30024,"Bell Creek, AK"
30025,"Cinnabar, AK"
30026,"Mountaintop Mine, AK"
30027,"Whitebear, AK"
30028,"Puviaq, AK"
30029,"Arley Lake, AK"
30030,"Port Vita, AK"
30031,"Kantishna, AK"
30032,"Lonely, AK"
30033,"Alpine, AK"
30034,"Serpentine, AK"
30035,"Driftwood Bay, AK"
30036,"Bradley Lake, AK"
30037,"Chilkat Lake, AK"
30038,"Nugget Creek, AK"
30039,"Ivotuk, AK"
30040,"Pogo Mines, AK"
30041,"Ayakulik River, AK"
30042,"Kiluda Bay, AK"
30043,"Terror Lake, AK"
30044,"Selief Bay, AK"
30047,"Laura Lake, AK"
30049,"Deep Bay, AK"
30050,"Kako, AK"
30051,"Molly Creek, AK"
30052,"Ptarmigan Lake, AK"
30053,"Cape Simpson, AK"
30054,"Kogru River, AK"
30055,"Teshepkuk Lake, AK"
30056,"Kodiak Island, AK"
30057,"Bear Creek, AK"
30058,"Lake Florence, AK"
30059,"Lake Hasselborg, AK"
30060,"Distin Lake, AK"
30061,"Port Hobron, AK"
30062,"Mooseville Airstrip, AK"
30063,"Big Bay, AK"
30064,"Wien Lake, AK"
30065,"Silver Salmon Creek, AK"
30066,"Blear Lake, AK"
30067,"Cannery Bay, AK"
30069,"Bear Lake, AK"
30070,"Kodiak, AK"
30071,"Cosna River, AK"
30072,"Ivatuk, AK"
30073,"Deadhorse, AK"
30074,"Cape Sarichef, AK"
30075,"Taylor Mountain Mine, AK"
30076,"Yukon Charley Rivvers, AK"
30078,"Karluk Portage, AK"
30079,"Hope, AK"
30080,"Viekoda Bay, AK"
30082,"Cold Bay, AK"
30083,"Village Islands, AK"
30084,"Wide Bay, AK"
30085,"Chinitna Bay, AK"
30086,"McKinley Park, AK"
30088,"Malina Bay, AK"
30089,"Red Fox Bay, AK"
30090,"Shearwater, AK"
30094,"Aglaq, AK"
30095,"Nikiski, AK"
30096,"Petrof Point, AK"
30097,"Denali, AK"
30098,"Big River, AK"
30100,"Carry Inlet, AK"
30102,"Montague Island, AK"
30103,"Shannon Pond, AK"
30104,"Omalik Lagoon, AK"
30105,"Omolik Lagoon, AK"
30106,"Bradley Lake Project, AK"
30107,"Barrow, AK"
30110,"Akulik, AK"
30111,"Deadfall, AK"
30112,"Eagle Creek, AK"
30113,"Bethel, AK"
30114,"Trading Bay, AK"
30116,"Kachemak Bay, AK"
30117,"Selby Lake, AK"
30118,"Anaa, French Polynesia"
30119,"Arrabury, Australia"
30120,"El Arish, Egypt"
30121,"Annaba, Algeria"
30122,"Apalachicola, FL"
30123,"Aachen, Germany"
30124,"Arraias, Brazil"
30125,"Aalborg, Denmark"
30126,"Mala Mala, South Africa"
30127,"Al Ain, United Arab Emirates"
30128,"Anaco, Venezuela"
30129,"Anapa, Russia"
30130,"Aarhus, Denmark"
30131,"Asau, Samoa"
30132,"Araxa, Brazil"
30134,"Abadan, Iran"
30135,"Allentown/Bethlehem/Easton, PA"
30136,"Abilene, TX"
30137,"Abidjan, Cote d'Ivoire"
30138,"Kabri Dar, Ethiopia"
30139,"Ambler, AK"
30140,"Albuquerque, NM"
30141,"Aberdeen, SD"
30142,"Abu Simbel, Egypt"
30143,"Al-Baha, Saudi Arabia"
30144,"Abuja, Nigeria"
30145,"Albury, Australia"
30146,"Albany, GA"
30147,"Aberdeen, United Kingdom"
30148,"Acapulco, Mexico"
30149,"Bellaire, MI"
30150,"Accra, Ghana"
30151,"Arrecife, Spain"
30152,"Altenrhein, Switzerland"
30153,"Alderney, United Kingdom"
30154,"Nantucket, MA"
30155,"Waco, TX"
30156,"Achutupo, Panama"
30157,"Eureka/Arcata, CA"
30158,"Atlantic City, NJ"
30159,"Adana, Turkey"
30160,"Izmir, Turkey"
30161,"Andakombe, Papua New Guinea"
30162,"Addis Ababa, Ethiopia"
30163,"Aden, Yemen"
30164,"Amman, Jordan"
30165,"Adak Island, AK"
30166,"Adelaide, Australia"
30167,"Ardmore, OK"
30168,"Andes, Colombia"
30169,"Andamooka, Australia"
30172,"Camp Springs, MD"
30173,"St Andrews, United Kingdom"
30174,"San Andres Island, Colombia"
30176,"Aleneva, AK"
30177,"Padang Sidempuan, Indonesia"
30178,"Abeche, Chad"
30180,"Aioun El Atrouss, Mauritania"
30181,"Buenos Aires, Argentina"
30182,"Adler/Sochi, Russia"
30183,"Aalesund, Norway"
30184,"Allakaket, AK"
30185,"Alexandria, LA"
30186,"Akureyri, Iceland"
30188,"San Rafael, Argentina"
30189,"Colorado Springs, CO"
30190,"Nebraska, NE"
30191,"Afton, WY"
30192,"Wadesboro, NC"
30194,"Dallas/Fort Worth, TX"
30195,"Afyon, Turkey"
30196,"Agadir, Morocco"
30197,"Augsburg, Germany"
30198,"Pittsburgh, PA"
30199,"Agen, France"
30200,"Angoram, Papua New Guinea"
30201,"Angelholm/Helsingborg, Sweden"
30202,"Kagua, Papua New Guinea"
30203,"Wanigela, Papua New Guinea"
30204,"Angoon, AK"
30205,"Malaga, Spain"
30206,"Agrinion, Greece"
30207,"Agra, India"
30208,"Augusta, GA"
30209,"Ciudad del Este, Paraguay"
30210,"Aguascalientes, Mexico"
30211,"Acarigua, Venezuela"
30212,"Agatti Island, India"
30214,"Abha, Saudi Arabia"
30216,"Athens, GA"
30217,"Alghero/Sassari, Italy"
30218,"Ahuas, Honduras"
30219,"Amchitka Island, AK"
30220,"Al Hoceima, Morocco"
30221,"Alliance, NE"
30222,"Anita Bay, AK"
30223,"Anderson, IN"
30224,"Aiken, SC"
30225,"Wainwright, AK"
30226,"Aitutaki, Cook Islands"
30228,"Lake of the Ozarks, MO"
30229,"Ajaccio, France"
30230,"Jouf, Saudi Arabia"
30231,"Akjoujt, Mauritania"
30232,"Aizwal, India"
30233,"Anjouan, Comoros"
30234,"Arvidsjaur, Sweden"
30235,"Aracaju, Brazil"
30236,"Agades, Niger"
30237,"Atka, AK"
30239,"Kufrah, Libya"
30240,"Al Kharj, Saudi Arabia"
30241,"Akiak, AK"
30242,"Asahikawa, Japan"
30243,"Akhiok, AK"
30244,"Auckland, New Zealand"
30245,"King Salmon, AK"
30246,"Akron, CO"
30247,"Anaktuvuk Pass, AK"
30248,"Akure, Nigeria"
30249,"Auki, Solomon Islands"
30250,"Akrotiri, Cyprus"
30251,"Aktyubinsk, Kazakhstan"
30252,"Sittwe, Burma"
30253,"Albertville, AL"
30254,"Alabaster, AL"
30255,"Huntsville, AL"
30256,"Almaty, Kazakhstan"
30257,"Albany, NY"
30258,"Alicante, Spain"
30259,"Alpine, TX"
30260,"Alta, Norway"
30261,"Algiers, Algeria"
30262,"Albany, Australia"
30263,"Alice, TX"
30264,"Alexander Bay, South Africa"
30265,"Asela, Ethiopia"
30266,"Alamogordo, NM"
30268,"Waterloo, IA"
30269,"Aleppo, Syria"
30270,"Alegrete, Brazil"
30271,"Alexandra, New Zealand"
30272,"Alamosa, CO"
30273,"Alenquer, Brazil"
30274,"Alula, Somalia"
30275,"Walla Walla, WA"
30276,"Alexander City, AL"
30277,"Alexandria, Egypt"
30278,"Lazy Bay, AK"
30279,"Amarillo, TX"
30280,"Ahmedabad, India"
30281,"Ama, Papua New Guinea"
30282,"Amboin, Papua New Guinea"
30283,"Arba Minch, Ethiopia"
30284,"Mataram, Indonesia"
30285,"Durango, CO"
30286,"Puerto Armuelles, Panama"
30288,"Alma, MI"
30289,"Mao, Chad"
30290,"Ampanihy, Madagascar"
30291,"Ambon, Indonesia"
30292,"Amsterdam, Netherlands"
30294,"Ames, IA"
30295,"Ammaroo, Australia"
30296,"Ambatomainty, Madagascar"
30297,"Anaheim, CA"
30298,"Anniston, AL"
30299,"Anchorage, AK"
30300,"Anderson, SC"
30301,"Angers, France"
30302,"Antofagasta, Chile"
30303,"Angouleme, France"
30304,"Aniak, AK"
30305,"Ankara, Turkey"
30306,"Antalaha, Madagascar"
30307,"Annette, AK"
30308,"Angoche, Mozambique"
30309,"Annapolis, MD"
30310,"Antwerp, Belgium"
30311,"Andahuaylas, Peru"
30312,"St. Johns, Antigua and Barbuda"
30313,"Anvik, AK"
30314,"Andeness, Norway"
30317,"Lima, OH"
30318,"Ancona, Italy"
30319,"Aomori, Japan"
30320,"Karpathos, Greece"
30321,"Paso de Los Libres, Argentina"
30322,"Altoona, PA"
30323,"Alor Setar, Malaysia"
30324,"Amook Bay, AK"
30325,"Denver, CO"
30326,"Apolo, Bolivia"
30327,"Napa, CA"
30328,"San Juan Aposento, Peru"
30329,"Naples, FL"
30330,"Aberdeen, MD"
30331,"Apataki, French Polynesia"
30332,"Nampula, Mozambique"
30333,"Alpena, MI"
30334,"Apartado, Colombia"
30335,"April River, Papua New Guinea"
30336,"Jasper, TN"
30337,"Apple Valley, CA"
30338,"Apia, Samoa"
30340,"Aqaba, Jordan"
30342,"Arequipa, Peru"
30343,"Saqani, Fiji"
30344,"Girdwood, AK"
30345,"Russellville, AR"
30346,"Conway, AR"
30347,"New Iberia, LA"
30348,"Ann Arbor, MI"
30349,"Arctic Village, AK"
30350,"Alor, Indonesia"
30351,"Arecibo, PR"
30352,"Walnut Ridge, AR"
30353,"Arkhangelsk, Russia"
